houshold,brand_car,age_car_yr,Sum_Totprem_Auto,Cars,salard_Age_cus_HH,cus_tenure_mth,HH_tenure_mth,FA_DCT,Fc,FD,cs_flag_auto,zone,salary,rural_urban,fraud_Ind
1,1,13,0,1,49,142,189,0,2,3,0,4,2693216,0,0
2,7,3,0,4,26,211,161,1,2,4,0,2,4384950,0,0
3,3,2,0,1,42,314,329,0,1,2,0,4,3089138,1,0
4,2,10,0,2,51,47,97,1,1,3,0,4,4295953,1,0
5,1,34,0,2,26,119,109,0,2,3,0,4,1317179,0,0
6,1,34,0,3,38,288,305,0,2,3,0,2,2729967,0,0
7,7,34,0,1,40,136,250,1,1,1,0,4,3295875,0,0
8,2,5,0,1,25,274,310,1,1,2,0,3,4499156,0,0
9,3,22,0,1,25,14,49,1,2,2,0,3,2778548,0,0
10,3,8,0,1,47,100,156,0,1,2,0,4,2328800,0,0
11,1,15,0,2,28,165,192,1,3,1,0,6,3363549,0,0
12,1,8,9006.32,2,34,144,129,0,2,5,1,6,3634060,1,0
13,7,12,10798.84,2,45,231,247,0,2,1,1,3,2658483,1,0
14,3,1,9268.64,1,27,185,212,0,4,3,1,2,2500688,0,0
15,2,18,9312.36,1,28,197,213,0,2,2,1,3,1406856,1,0
16,2,2,13596.92,2,50,297,311,0,4,2,1,3,2075173,0,0
17,2,2,3191.56,1,27,42,73,1,1,3,1,3,3194718,0,0
18,2,22,524.64,1,31,7,12,0,5,2,1,3,2370208,1,0
19,2,22,5771.04,3,27,86,132,0,1,1,1,6,2666481,1,0
20,1,3,11236.04,2,28,221,257,0,2,1,1,4,4387863,0,0
21,5,3,10274.2,2,43,203,235,0,2,1,1,4,4621086,0,0
22,1,7,14908.52,4,34,323,341,0,3,1,1,4,4591769,0,0
23,1,26,15039.68,2,47,314,344,0,2,1,1,5,3408225,0,0
24,7,12,9399.8,1,35,181,215,0,2,1,1,3,3016327,1,0
25,2,1,7563.56,1,33,121,279,1,1,1,1,3,4166053,1,0
26,2,2,2098.56,2,25,35,48,0,1,3,1,4,3385061,0,0
27,4,20,8131.92,1,46,167,186,0,1,1,1,6,4485283,0,0
28,1,20,9006.32,3,47,177,206,0,1,4,1,3,1862427,0,0
29,3,4,13203.44,1,36,258,302,0,1,1,1,6,4453287,0,0
30,3,10,524.64,3,38,7,12,0,1,6,1,3,3072589,0,0
31,1,6,3104.12,2,48,57,71,0,1,1,1,3,2798790,0,0
32,2,10,8437.96,1,36,162,193,0,2,2,1,3,1923445,0,0
33,2,10,14908.52,1,42,304,341,0,1,1,1,4,4619060,0,0
34,4,8,0,3,32,146,189,0,3,1,0,1,4169009,1,0
35,2,13,0,1,50,237,267,1,3,2,0,1,2058951,1,0
36,2,18,0,2,49,254,300,0,3,1,0,1,3147590,0,0
37,2,8,0,3,40,174,182,0,2,2,0,1,2230614,0,0
38,2,9,0,1,25,96,203,0,2,1,0,1,2088003,0,0
39,3,9,0,2,30,198,231,0,1,5,0,1,4199788,1,0
40,2,7,0,1,47,124,157,0,2,6,0,1,2359492,0,0
41,1,12,0,1,40,95,110,1,2,3,0,1,4083862,0,0
42,1,19,0,4,39,145,133,0,1,2,0,1,3486470,0,0
43,1,15,0,3,35,253,295,1,1,2,0,1,3601825,0,0
44,1,1,0,1,44,32,66,0,3,1,0,1,3384603,0,0
45,1,12,0,1,32,269,103,0,3,1,0,1,2371797,0,0
46,5,3,0,3,51,315,334,0,2,1,0,1,1600784,0,0
47,3,16,0,1,44,264,280,0,3,3,0,1,4245310,0,0
48,1,4,0,1,35,52,102,1,1,3,0,1,3696639,0,0
49,1,19,0,1,39,9,40,0,4,1,0,1,2457312,0,0
50,1,9,0,2,29,289,316,0,4,1,0,1,1645393,1,0
51,1,20,0,2,41,253,273,0,3,5,0,1,2826338,1,0
52,2,25,0,2,51,150,260,0,1,1,0,1,1936521,0,0
53,1,3,0,1,29,148,283,0,1,3,0,1,2527709,1,0
54,3,12,0,1,50,215,168,0,4,1,0,1,1736866,0,0
55,1,20,0,2,29,62,89,0,1,2,0,1,4463852,1,0
56,1,4,0,2,31,32,56,0,1,2,0,1,4052555,0,0
57,1,20,0,1,27,294,314,0,3,4,0,1,2116335,0,0
58,2,11,0,2,36,127,143,0,2,2,0,1,4066605,0,0
59,7,9,0,1,35,122,246,0,2,3,0,1,4085525,0,0
60,3,11,0,1,25,184,198,0,1,2,0,1,4673899,0,0
61,2,15,0,3,51,72,110,0,1,1,0,2,2602628,0,0
62,1,5,0,2,31,118,252,1,2,1,0,1,3701644,0,0
63,1,12,0,2,42,203,230,0,2,1,0,2,2858299,0,0
64,7,20,0,1,25,245,278,0,5,3,0,1,3667065,0,0
65,2,7,0,2,43,256,124,0,1,2,0,2,1359511,1,0
66,7,5,0,2,50,221,239,1,2,1,0,1,2689935,1,0
67,7,10,0,2,39,176,287,1,1,2,0,1,4141008,0,0
68,2,9,0,1,47,37,42,0,4,2,0,1,4514569,1,0
69,2,9,0,1,31,109,132,0,2,1,0,1,2137376,0,0
70,7,12,0,1,27,206,291,0,1,1,0,1,1694653,1,0
71,3,5,0,3,36,178,208,0,2,1,0,1,3138665,0,0
72,7,22,0,4,41,122,147,0,2,1,0,1,3781566,0,0
73,2,12,0,1,27,191,229,0,3,1,0,1,4584858,0,0
74,2,1,0,2,28,114,149,0,2,2,0,1,3265580,1,0
75,2,9,0,1,28,8,39,0,3,1,0,1,4158747,0,0
76,2,10,0,1,40,203,177,0,3,2,0,1,1951051,0,0
77,2,25,0,5,39,259,309,0,2,2,0,2,4228329,0,0
78,2,24,0,2,44,28,33,1,2,2,0,1,4046154,0,0
79,3,11,0,5,44,226,264,0,4,2,0,2,2125211,0,0
80,1,12,0,1,25,239,273,0,1,2,0,1,2870171,0,0
81,1,18,0,1,48,200,214,0,3,3,0,1,3627400,0,0
82,3,9,0,1,46,256,159,0,1,1,0,2,2720239,0,0
83,2,2,0,1,41,202,219,0,1,5,0,1,4357754,0,0
84,2,2,0,2,29,270,295,0,2,2,0,4,4591722,1,0
85,1,8,0,1,25,77,176,0,1,5,0,1,2188431,1,0
86,7,18,0,1,25,79,94,0,1,1,0,1,1901804,0,0
87,7,15,0,2,34,24,29,0,3,1,0,1,1386829,1,0
88,7,17,0,1,36,222,255,0,1,3,0,1,3873852,1,0
89,3,1,0,1,34,142,185,0,2,5,0,1,3497172,0,0
90,3,1,0,1,46,264,291,0,1,1,0,1,3456518,0,0
91,2,7,0,3,50,15,20,0,2,2,0,1,1546218,0,0
92,1,5,0,3,47,182,222,0,5,2,0,4,4601209,1,0
93,1,22,0,1,34,72,138,0,1,1,0,1,4054698,0,0
94,3,24,0,1,33,291,331,0,1,2,0,1,4526514,0,0
95,7,28,0,2,37,7,12,0,2,2,0,2,3619249,0,0
96,7,11,0,1,50,253,145,0,3,1,0,2,3345835,0,0
97,2,7,0,1,41,233,150,0,3,3,0,3,1662992,0,0
98,2,4,0,4,25,52,76,1,2,3,0,1,3024367,0,0
99,2,20,0,2,38,198,210,0,2,1,0,4,3603883,0,0
100,7,7,0,2,28,217,155,0,1,1,0,1,3316803,0,0
101,7,19,0,2,43,3,47,0,1,1,0,1,1329926,0,0
102,1,8,0,2,29,26,61,0,3,2,0,4,4353218,0,0
103,2,19,0,1,26,191,223,0,1,1,0,3,4676419,0,0
104,2,13,0,4,42,163,177,0,2,1,0,1,1915187,0,0
105,1,16,0,2,38,271,294,0,1,1,0,1,2732515,1,0
106,2,7,0,2,34,309,358,0,3,3,0,1,2326135,0,0
107,7,7,0,2,49,237,261,0,1,1,0,1,3669860,0,0
108,2,22,0,1,44,6,19,0,1,1,0,1,3357122,0,0
109,3,18,0,1,41,136,152,0,1,4,0,1,1351845,1,0
110,4,12,0,5,45,99,117,0,1,2,0,1,2949332,1,0
111,4,11,0,5,40,6,28,0,1,2,0,1,3282032,0,0
112,1,5,0,2,26,56,89,1,1,1,0,1,4302198,0,0
113,1,6,0,1,25,200,250,1,1,2,0,1,3479295,0,0
114,1,15,0,2,32,231,280,0,1,3,0,1,3196398,1,0
115,1,15,0,2,41,143,269,0,1,2,0,1,4247873,1,0
116,2,9,0,4,33,257,305,0,3,3,0,1,1895510,0,0
117,1,3,0,1,25,233,257,0,2,1,0,1,4625406,0,0
118,2,4,0,1,26,81,100,0,1,2,0,1,1316665,0,0
119,4,3,0,2,40,113,196,0,2,2,0,1,2674642,0,0
120,1,11,0,3,28,153,180,0,1,6,0,2,4654430,0,0
121,1,11,0,3,28,279,311,1,1,6,0,1,2959178,0,0
122,2,25,0,3,50,71,84,1,1,1,0,1,3861466,1,0
123,1,1,0,3,41,67,114,0,1,1,0,1,3231826,1,0
124,3,1,0,1,51,5,35,0,2,6,0,1,2843070,0,0
125,2,15,0,1,32,11,16,0,1,6,0,1,1510642,0,0
126,3,15,0,2,25,196,231,0,1,1,0,3,4621550,0,0
127,2,12,0,1,40,245,286,1,4,2,0,1,1835095,0,0
128,2,3,0,1,25,235,173,0,2,6,0,1,1424638,0,0
129,1,15,0,1,31,103,151,0,3,2,0,1,4288566,0,0
130,1,9,0,1,47,252,277,0,2,1,0,1,1472534,0,0
131,2,8,0,4,46,203,237,0,1,2,0,1,3042212,0,0
132,2,7,0,1,40,211,261,0,1,1,0,1,3490339,0,0
133,7,7,0,3,25,196,243,1,1,2,0,1,2284845,0,0
134,1,37,0,1,51,187,252,0,1,2,0,1,2425481,0,0
135,1,9,54028.8,1,45,198,224,0,1,2,1,1,3000930,1,0
136,1,7,62470.8,1,25,220,238,1,1,3,1,3,2181741,1,0
137,2,26,63435.6,3,25,163,114,0,1,3,1,2,3418452,0,0
138,2,26,47998.8,2,44,97,167,0,4,2,1,4,3194396,0,0
139,2,17,50893.2,3,44,180,211,0,1,1,1,4,4331062,0,0
140,2,20,39556.8,4,33,125,164,0,2,2,1,4,2046446,0,0
141,1,20,61264.8,2,37,133,110,0,1,2,1,5,2565676,0,0
142,4,25,51858,1,40,277,215,0,2,2,1,4,3115465,0,0
143,3,2,6753.6,1,42,23,28,0,1,1,1,3,1501654,1,0
144,7,11,26290.8,2,39,72,109,0,1,2,1,5,2338476,1,0
145,1,10,69224.4,2,25,265,123,0,3,3,1,5,2395918,0,0
146,7,2,54270,1,43,186,225,0,5,2,1,5,2906022,0,0
147,7,7,50169.6,2,41,124,240,0,1,2,1,4,3527205,0,0
148,7,7,0,2,32,200,227,0,4,1,0,5,3226419,0,0
149,4,4,0,4,45,304,323,0,1,1,0,4,2032905,0,0
150,4,25,0,1,46,144,246,1,2,2,0,4,4172971,0,0
151,4,2,0,1,37,64,83,0,2,3,0,4,3549631,0,0
152,2,2,0,1,45,140,245,0,1,3,0,4,2897513,0,0
153,4,5,0,3,36,226,232,0,1,4,0,5,2991022,1,0
154,2,5,0,1,45,208,196,0,3,2,0,4,2091897,0,0
155,2,22,0,3,50,58,78,0,4,2,0,4,1617043,0,0
156,1,12,0,1,25,152,272,0,2,2,0,4,4668407,1,0
157,1,9,0,4,30,189,221,0,4,2,0,4,4619254,0,0
158,1,3,0,2,26,266,309,1,2,2,0,2,2349559,0,0
159,2,27,0,2,37,168,218,1,1,2,0,5,3156128,0,0
160,2,12,0,1,31,230,254,0,1,3,0,2,2390106,0,0
161,2,3,0,2,33,193,256,0,1,1,0,3,3636329,0,0
162,1,15,0,1,51,104,151,0,1,2,0,2,3586496,0,0
163,7,6,0,3,44,112,214,0,2,2,0,4,1972814,0,0
164,1,9,0,3,25,132,159,0,1,4,0,4,3380913,0,0
165,1,36,0,1,34,167,191,0,1,1,0,3,2535095,0,0
166,4,11,0,2,25,135,230,0,1,2,0,5,2704366,0,0
167,3,12,0,2,40,212,272,0,1,3,0,3,3537929,0,0
168,2,17,0,2,43,90,114,0,3,3,0,5,4465118,0,0
169,7,16,0,1,29,154,144,1,1,2,0,4,2147298,1,0
170,2,6,0,1,41,119,159,0,2,3,0,5,3209794,0,0
171,3,2,0,1,32,254,213,0,1,2,0,5,3092714,0,0
172,2,28,0,1,51,177,203,0,1,3,0,4,1418176,0,0
173,7,18,0,1,42,310,342,0,4,5,0,3,3488788,0,0
174,7,4,0,4,28,200,111,1,3,1,0,6,3290187,0,0
175,7,17,0,3,34,171,204,0,3,3,0,5,1589659,0,0
176,1,1,0,1,33,255,268,0,1,4,0,3,2539115,0,0
177,2,7,0,3,25,21,26,0,1,2,0,4,1361948,0,0
178,2,5,0,1,25,173,202,1,2,2,0,6,1431195,0,0
179,2,16,0,2,43,14,19,1,1,3,0,3,2833387,0,0
180,5,5,0,1,36,14,47,1,2,2,0,3,3860570,0,0
181,4,9,0,1,29,202,190,0,1,2,0,2,4164016,1,0
182,1,2,0,2,39,103,131,0,2,2,0,4,3047411,0,0
